Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,,123,-11.51,15.45,19,30,30,10,52,42,20,20,10,50,42,164,142
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,OR 12 GRAIN WP 24Z,27,-15.63,11.11,3,10,10,0,10,10,0,10,0,10,10,40,30
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,OR ANCTGRN&RSEED 24Z,2,100.00,0.00,0,0,0,0,2,2,0,0,0,0,2,4,2
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,OR HEALTHNUT BRD 24Z,18,-37.93,11.11,2,0,0,0,10,10,0,0,0,10,10,20,20
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,OR OATNUT BREAD 24Z,58,-3.33,3.45,2,20,10,10,20,10,20,10,10,20,10,70,70
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,OR WG 100%WW WP 24Z,18,0.00,66.67,12,0,10,0,10,10,0,0,0,10,10,30,20
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR ITALIAN,,11,57.14,27.27,3,0,0,0,0,7,0,0,0,0,7,7,7
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR ITALIAN,OROWEAT ITALIAN 20OZ,11,57.14,27.27,3,0,0,0,0,7,0,0,0,0,7,7,7
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR-OR HEALTHFUL BRDS,,23,43.75,30.43,7,8,0,0,13,0,8,0,0,13,0,21,21
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR-OR HEALTHFUL BRDS,OR HLF NUTS&SEED 20Z,6,100.00,66.67,4,2,0,0,4,0,2,0,0,4,0,6,6
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR-OR HEALTHFUL BRDS,OR HLF STLCUT OAT20Z,7,100.00,42.86,3,3,0,0,4,0,3,0,0,4,0,7,7
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR-OR HEALTHFUL BRDS,OR HLTHF FLAX&SF 20Z,10,100.00,0.00,0,3,0,0,5,0,3,0,0,5,0,8,8
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR-OR HEALTHFUL BRDS,OR HLTHF NUTTYGRNS24,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,CINNABON BREAD,,9,200.00,55.56,5,0,0,0,0,14,0,0,0,0,14,14,14
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,CINNABON BREAD,CINNABON BRD16Z,9,200.00,55.56,5,0,0,0,0,14,0,0,0,0,14,14,14
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ORO RYE BREAD,,16,-5.88,50.00,8,0,0,0,0,36,0,0,0,0,36,36,36
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ORO RYE BREAD,JEWISH RYE,7,-22.22,71.43,5,0,0,0,0,12,0,0,0,0,12,12,12
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ORO RYE BREAD,RUSSIAN RYE,0,-100.00,0.00,0,0,0,0,0,12,0,0,0,0,12,12,12
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ORO RYE BREAD,SWARZ DARK RYE16,9,80.00,33.33,3,0,0,0,0,12,0,0,0,0,12,12,12
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,SUNMAID FRUIT BRD,,14,-6.67,0.00,0,0,0,0,0,14,0,0,0,0,14,14,14
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,SUNMAID FRUIT BRD,SUNMAID RAISIN 16Z,14,-6.67,0.00,0,0,0,0,0,14,0,0,0,0,14,14,14
SLICED BREAD,BIMBO BREAD,,,198,-45.30,5.05,10,48,32,32,56,32,58,24,32,56,32,200,202
SLICED BREAD,BIMBO BREAD,BIMBO SOFT BREAD,,198,-44.07,5.05,10,48,32,32,56,32,48,24,32,56,32,200,192
