Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug,,,,,,,,,,,
SWEET BAKED GOODS,ENTENMANNS BRANDS,EN LITTLE BITES,LB BROWNIE,14,0.00,0.00,0,0,0,0,0,0,18,0,0,0,0,0,18,,,,,,,,,,,
SWEET BAKED GOODS,ENTENMANNS BRANDS,EN LITTLE BITES,LB CHOCHIP MINI MUFF,27,52.86,0.93,0,0,0,0,18,18,0,0,0,18,18,36,36,,,,,,,,,,,
SWEET BAKED GOODS,ENTENMANNS BRANDS,EN LITTLE BITES,LB PARTY CAKE MFN 5P,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SWEET BAKED GOODS,ENTENMANNS BRANDS,EN LITTLE BITES,LB S'MORES MFN 5P,14,100.00,0.00,0,0,0,0,0,2,0,0,0,0,2,2,2,,,,,,,,,,,
SWEET BAKED GOODS,ENTENMANNS BRANDS,EN LITTLE BITES,LB SDOODLE MUFF MEXI,5,100.00,0.00,0,0,0,0,0,0,0,18,0,0,0,0,18,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,,,170,-16.33,3.24,6,6,6,124,0,35,46,28,110,0,35,171,219,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-BX-COOKIES,,59,-33.64,2.12,1,0,0,39,0,15,20,12,48,0,15,54,95,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-BX-COOKIES,MLA BRRITA PNA BX8P,11,-28.81,0.00,0,0,0,9,0,2,3,3,8,0,2,11,16,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-BX-COOKIES,MLA BRRITA STR BX8P,22,-18.69,5.75,1,0,0,10,0,5,7,4,15,0,5,15,31,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-BX-COOKIES,MLA CANELITAS BX8P,15,-17.14,0.00,0,0,0,10,0,3,5,2,10,0,3,13,20,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-BX-COOKIES,MLA CARIBENAS BX8P,0,-100.00,0.00,0,0,0,0,0,0,2,0,4,0,0,0,6,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-BX-COOKIES,MLA GANSITOCKY BX10P,7,35.29,0.00,0,0,0,0,0,3,0,0,3,0,3,3,6,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-BX-COOKIES,MLA POLVORONES BX8P,5,-33.33,0.00,0,0,0,10,0,2,2,2,6,0,2,12,12,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-BX-COOKIES,MLA SUAVICM NAPX30P,0,-100.00,0.00,0,0,0,0,0,0,1,1,0,0,0,0,2,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-BX-COOKIES,MLA TARTNA STR BX8P,0,-100.00,0.00,0,0,0,0,0,0,0,0,2,0,0,0,2,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-BX-SNACK CAKES,,106,-2.75,3.77,4,6,6,85,0,17,24,16,55,0,17,114,112,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-BX-SNACK CAKES,MLA CHOCOROL BX8P,7,-50.00,3.85,0,0,0,5,0,6,0,0,0,0,6,11,6,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-BX-SNACK CAKES,MLA GANSITO BX8P,94,84.80,1.59,2,0,0,60,0,11,16,10,35,0,11,71,72,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-BX-SNACK CAKES,MLA GANSITO CH BX8P,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-BX-SNACK CAKES,MLA GANSITO CL24P,0,-100.00,0.00,0,6,6,15,0,0,6,6,15,0,0,27,27,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-BX-SNACK CAKES,MLA NAPOLITANO BX5P,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-BX-SNACK CAKES,MLA PINGUINO BX8P,5,-66.67,42.86,2,0,0,5,0,0,2,0,5,0,0,5,7,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-BX-SNACK CAKES,MLA SUBMRNO STR BX8P,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-MP-COOKIES,,5,-5.00,5.26,0,0,0,0,0,3,2,0,7,0,3,3,12,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-MP-COOKIES,MLA BRRITA STR MF6P,5,100.00,5.26,0,0,0,0,0,0,0,0,2,0,0,0,2,,,,,,,,,,,
SWEET BAKED GOODS,MARINELA,MR-MP-COOKIES,MLA SPONCH MF6P,0,-100.00,0.00,0,0,0,0,0,3,2,0,5,0,3,3,10,,,,,,,,,,,
SWEET BAKED GOODS,MRS BAIRDS SBG,,,367,-2.00,2.18,8,48,48,56,96,64,82,50,53,128,64,312,377,,,,,,,,,,,
SWEET BAKED GOODS,MRS BAIRDS SBG,MB DONUTS POPETTES,,356,-1.79,2.25,8,48,48,48,96,64,80,48,48,128,64,304,368,,,,,,,,,,,
SWEET BAKED GOODS,MRS BAIRDS SBG,MB DONUTS POPETTES,MB SNK BAG CHOC DNT,106,26.35,2.37,3,16,16,16,32,16,32,16,16,32,16,96,112,,,,,,,,,,,
SWEET BAKED GOODS,MRS BAIRDS SBG,MB DONUTS POPETTES,MB SNK BAG CINN DNT,29,-35.23,12.28,4,0,0,0,0,16,0,0,0,16,16,16,32,,,,,,,,,,,
SWEET BAKED GOODS,MRS BAIRDS SBG,MB DONUTS POPETTES,MB SNK BAG POWDERDNT,222,-5.53,0.90,2,32,32,32,64,32,48,32,32,80,32,192,224,,,,,,,,,,,
