Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,OR EM 100%WW 6P12.5Z,8,8.05,6.38,1,0,2,0,2,0,2,2,0,3,0,4,7
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,OR EM EX CRISP6P12.5,9,-25.87,6.60,1,0,2,0,2,3,2,2,0,3,3,7,10
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,ORO DBL FIB EM6,7,254.55,12.82,1,0,2,0,2,2,0,0,2,2,2,6,6
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,RAISIN MUFF 6P,7,112.50,4.71,0,2,2,0,2,0,2,0,3,2,0,6,7
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,RAISIN MUFF 6P,0,-100.00,0.00,0,2,2,0,2,0,2,0,3,2,0,6,7
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,SD ENG MUFF 6P12.48,8,25.33,5.32,0,0,2,0,2,3,2,0,3,3,3,7,11
MUFFINS,THOMAS BRANDS,,,122,0.00,11.24,14,2,37,2,64,19,30,19,19,40,19,124,127
MUFFINS,THOMAS BRANDS,FLAVORED MUFFINS,,17,-18.70,0.50,0,2,8,2,14,2,5,4,2,5,2,28,18
MUFFINS,THOMAS BRANDS,FLAVORED MUFFINS,EM APPLE PIE 6P 13Z,1,0.00,0.00,0,2,2,0,6,0,2,2,0,0,0,10,4
MUFFINS,THOMAS BRANDS,FLAVORED MUFFINS,EM CINN RSN 6P 13Z,15,42.97,0.55,0,0,6,2,8,2,3,2,2,5,2,18,14
MUFFINS,THOMAS BRANDS,FLAVORED MUFFINS,LTD ED EM CINVAN6P13,1,-93.52,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
MUFFINS,THOMAS BRANDS,HEARTY MUFFINS,,35,16.90,30.12,10,0,9,0,20,6,9,5,6,11,6,35,37
MUFFINS,THOMAS BRANDS,HEARTY MUFFINS,EM DBL PROTN OAT6P13,6,100.00,61.19,3,0,2,0,6,3,2,0,2,0,3,11,7
MUFFINS,THOMAS BRANDS,HEARTY MUFFINS,EM HIGHFIB PLN 6P12Z,7,100.00,26.14,2,0,2,0,4,0,2,0,2,2,0,6,6
MUFFINS,THOMAS BRANDS,HEARTY MUFFINS,EM LT MLT GRN 6P12Z,14,-28.63,12.57,2,0,3,0,6,3,3,3,2,6,3,12,17
